,idx,Q_num,word,corrected
75,20,106_Q19,wwlker,walker
76,21,108_Q19,exscape,escape
77,21,182_Q19,alot,lot
78,22,28_Q19,peturbed,perturbed
79,22,133_Q19,tv,to
80,22,175_Q19,aplomb,plumb
81,23,204_Q19,cheerily,cheering
82,24,133_Q19,television.,television
83,24,201_Q19,grimaced,grimace
84,27,26_Q19,vup,up
85,27,42_Q19,thr,the
86,27,113_Q19,herself.,herself
87,27,172_Q19,for.,for
88,28,133_Q19,tv,to
89,29,6_Q19,nothibg,nothing
90,29,19_Q19,muchly,much
91,29,50_Q19,tryibg,trying
92,29,51_Q19,enf,end
93,29,54_Q19,ende,end
94,29,91_Q19,dird,did
95,29,117_Q19,boltrd,bolted
96,29,169_Q19,dird,did
97,29,196_Q19,s,i
98,29,204_Q19,coyly,could
99,29,212_Q19,fied,find
100,29,216_Q19,ok?,ok
101,31,177_Q19,carw,care
102,32,3_Q19,sowly,slowly
103,32,133_Q19,tv,to
104,32,151_Q19,sowly,slowly
105,32,188_Q19,bady,bad
106,32,193_Q19,waitrd,waited
107,34,76_Q19,noone,none
108,34,107_Q19,enthusiatically,enthusiastically
109,34,175_Q19,vengance,vengeance
110,34,205_Q19,reluctently,reluctantly
111,35,3_Q19,,i
112,35,7_Q19,,i
113,35,29_Q19,,i
114,35,32_Q19,,i
115,35,37_Q19,,i
116,35,48_Q19,no-one,none
117,35,75_Q19,,i
118,35,76_Q19,no-one,none
119,35,83_Q19,,i
120,35,97_Q19,,i
121,35,105_Q19,w,i
122,35,112_Q19,,i
123,35,150_Q19,,i
124,35,156_Q19,,i
125,35,171_Q19,,i
126,35,184_Q19,,i
127,35,190_Q19,,i
128,36,43_Q19,,i
129,36,134_Q19,alot,lot
130,37,36_Q19,accross,across
131,37,133_Q19,tv,to
132,40,57_Q19,weht,went
133,40,87_Q19,gruffalo,buffalo
134,40,133_Q19,tv,to
135,40,160_Q19,weht,went
136,40,174_Q19,weht,went
137,40,182_Q19,morev,more
138,41,72_Q19,yelped,helped
139,41,85_Q19,yelped,helped
140,42,13_Q19,glowered,lowered
141,42,22_Q19,thenceforth,henceforth
142,42,36_Q19,giddily,giddy
143,42,85_Q19,grimaced,grimace
144,42,107_Q19,curtly,curly
145,44,69_Q19,didnt,didn't
146,44,162_Q19,onky,only
147,46,33_Q19,nithing,nothing
148,46,50_Q19,,i
149,46,60_Q19,forwver,forever
150,46,92_Q19,tabley,table
151,46,124_Q19,,i
152,46,148_Q19,jemima,jemma
153,46,194_Q19,attendent,attendant
154,48,61_Q19,granparents,grandparents
155,48,133_Q19,tv,to
156,49,133_Q19,tv,to
157,50,133_Q19,tv,to
158,50,179_Q19,cleaming,cleaning
159,50,182_Q19,alot,lot
160,51,133_Q19,tv,to
161,51,161_Q19,knowhere,nowhere
162,52,33_Q19,no-one,none
163,52,133_Q19,tv,to
164,52,141_Q19,kitkat,kita
165,52,175_Q19,pleaing,pleading
166,53,51_Q19,head-master,headmaster
167,53,91_Q19,suddenely,suddenly
168,53,188_Q19,severly,severely
169,54,51_Q19,giantess,giants
170,54,85_Q19,yelped,helped
171,56,76_Q19,no-one,none
172,56,133_Q19,tv,to
173,57,27_Q19,sharpish,sharpest
174,57,78_Q19,tearingly,tearing
175,57,107_Q19,encouragingly,encouraging
176,57,191_Q19,strugglinf,struggling
177,57,196_Q19,vechile,vehicle
178,57,202_Q19,openee,opened
179,57,204_Q19,encouragingly,encouraging
180,58,33_Q19,boo!,book
181,58,109_Q19,disasterous,disastrous
182,58,133_Q19,tv,to
183,58,149_Q19,benifits,benefits
184,58,166_Q19,eurika!,eureka
185,58,167_Q19,tv,to
186,58,171_Q19,metaphore,metaphor
187,58,182_Q19,alot,lot
188,58,192_Q19,tomatos,tomato
189,58,202_Q19,grimaced,grimace
190,58,204_Q19,falsly,falsely
191,58,212_Q19,motiviated,motivated
192,61,170_Q19,didnt,didn't
193,61,176_Q19,dryed,dried
194,63,48_Q19,cigerettes,cigarettes
195,63,50_Q19,hilarious!,hilarious
196,63,85_Q19,yelped,helped
197,64,175_Q19,aplaum,alarm
198,65,114_Q19,parents',parents
199,67,129_Q19,quitely,quietly
200,68,135_Q19,,i
201,69,76_Q19,noone,none
202,69,182_Q19,alot,lot
203,70,49_Q19,doesnt,doesn't
204,70,188_Q19,baddly,badly
205,73,73_Q19,weeped,seeped
206,73,145_Q19,,i
207,74,41_Q19,snoozed,snooze
208,74,76_Q19,noone,none
209,74,114_Q19,nans,fans
210,74,118_Q19,carful,careful
211,74,133_Q19,televison,television
212,75,23_Q19,bsby,baby
213,75,28_Q19,sivk,sick
214,75,30_Q19,ohone,phone
215,75,43_Q19,imformation,information
216,75,62_Q19,diffrent,different
217,75,139_Q19,imformation,information
218,75,164_Q19,imformation,information
219,76,49_Q19,didnt,didn't
220,76,107_Q19,enthusiatically,enthusiastically
221,76,169_Q19,didnt,didn't
222,79,171_Q19,b,i
223,81,107_Q19,assumingly,assuming
